аромат;english;ЦИТРУС;ЗЕЛЕНЬ · ТРАВЫ;ХОЛОД · КАМФОРА;ЦВЕТЫ;ФРУКТЫ · ЯГОДЫ;СЛАДКОЕ · ГУРМАН;ПРЯНОСТИ;ДЕРЕВО;СМОЛЫ · БАЛЬЗАМЫ;ДЫМ · ЗЕМЛЯ · МОХ;ЖИВОТНОЕ · КОЖА;МОРЕ · МИНЕРАЛ;сумма;комментарий Груши
гардения;gardenia;;0,10;;0,80;0,10;;;;;;;;1,00;
цветок апельсина;orange blossom;0,20;;;0,70;;0,10;;;;;;;1,00;
чампака;champaca;;;;0,70;0,20;;0,10;;;;;;1,00;
лотос;lotus;;0,10;;0,70;;;;;;;;0,20;1,00;
жимолость;honeysuckle;;;;0,70;0,20;0,10;;;;;;;1,00;
липа;linden;;0,10;;0,60;;0,30;;;;;;;1,00;
ландыш;lily of the valley;;0,20;;0,80;;;;;;;;;1,00;
пион;peony;;0,10;;0,70;0,20;;;;;;;;1,00;
сирень;lilac;;0,10;;0,80;;0,10;;;;;;;1,00;
франжипани;frangipani;;;;0,60;0,20;0,20;;;;;;;1,00;
яблоко;apple;;0,20;;;0,80;;;;;;;;1,00;
груша;pear;;;;0,10;0,80;0,10;;;;;;;1,00;
персик;peach;;;;0,20;0,70;0,10;;;;;;;1,00;
абрикос;apricot;;;;0,10;0,70;0,20;;;;;;;1,00;
малина;raspberry;;;;0,10;0,80;0,10;;;;;;;1,00;
чёрная смородина;blackcurrant;;0,30;;;0,60;;;;;;0,10;;1,00;
инжир;fig;;0,30;;;0,50;;;0,20;;;;;1,00;
кокос;coconut;;;;;0,50;0,40;;0,10;;;;;1,00;
манго;mango;;;;0,20;0,70;;;;0,10;;;;1,00;
виноград;grape;;;;0,10;0,80;0,10;;;;;;;1,00;
вишня;cherry;;;;;0,70;0,20;0,10;;;;;;1,00;
слива;plum;;;;;0,70;0,20;;;;0,10;;;1,00;
финик;date;;;;;0,50;0,40;;;;0,10;;;1,00;
изюм;raisin;;;;;0,50;0,40;;;;;0,10;;1,00;
ваниль;vanilla;;;;;;0,70;0,10;;0,20;;;;1,00;
бобы тонка;tonka bean;;;;;;0,60;0,20;;0,20;;;;1,00;
мёд;honey;;;;0,30;;0,60;;;;;0,10;;1,00;
какао;cacao;;;;;;0,60;0,10;;;0,30;;;1,00;
кофе;coffee;;;;;;0,30;0,20;;;0,50;;;1,00;
карамель;caramel;;;;;;0,90;;;;;;;0,90;
миндаль;almond;;;;;0,20;0,60;0,20;;;;;;1,00;
фундук;hazelnut;;;;;;0,50;;0,30;;0,20;;;1,00;
молоко;milk;;;;;;0,70;;;;;0,30;;1,00;
хлеб;bread;;0,20;;;;0,50;;;;0,30;;;1,00;
ром;rum;;;;;0,20;0,60;0,20;;;;;;1,00;
солод · пиво;malt · beer;;;;;0,30;0,40;;;;0,30;;;1,00;
вино красное;red wine;;;;;0,50;;0,20;;;0,30;;;1,00;
кленовый сироп;maple syrup;;;;;;0,80;;0,20;;;;;1,00;
пчелиный воск;beeswax;;;;0,20;;0,50;;;;;0,30;;1,00;
чёрный перец;black pepper;;;;;;;0,80;0,20;;;;;1,00;
розовый перец;pink pepper;;;;0,20;0,20;;0,60;;;;;;1,00;
корица;cinnamon;;;;;;0,30;0,70;;;;;;1,00;
кассия;cassia;;;;;;0,20;0,80;;;;;;1,00;
гвоздика;clove;;;;0,20;;;0,70;0,10;;;;;1,00;
кардамон;cardamom;0,20;;0,20;;;;0,60;;;;;;1,00;
имбирь;ginger;0,30;;0,10;;;;0,60;;;;;;1,00;
мускатный орех;nutmeg;;;;;;0,10;0,60;0,30;;;;;1,00;
анис;anise;;0,20;;;;0,30;0,50;;;;;;1,00;
бадьян;star anise;;0,10;;;;0,30;0,60;;;;;;1,00;
кориандр;coriander;0,30;;;0,20;;;0,50;;;;;;1,00;
тмин;cumin;;0,30;;;;;0,70;;;;;;1,00;
куркума;turmeric;;;;;;;0,60;0,10;;0,30;;;1,00;
шафран;saffron;;;;;;0,20;0,50;;;;0,30;;1,00;
перец сычуаньский;sichuan pepper;0,30;;0,10;;;;0,60;;;;;;1,00;
душистый перец;allspice;;;;;;0,20;0,70;0,10;;;;;1,00;
лавровый лист;bay leaf;;0,40;0,10;;;;0,50;;;;;;1,00;
сандал;sandalwood;;;;;;0,15;;0,70;0,15;;;;1,00;
уд;oud;;;;;;;;0,50;;0,25;0,25;;1,00;
гималайский кедр;himalayan cedar;;;;;;0,10;;0,80;0,10;;;;1,00;
атласский кедр;atlas cedar;;;;;;;0,10;0,80;0,10;;;;1,00;
виргинский кедр;virginia cedar;;;;;;;;0,90;;0,10;;;1,00;
пало санто;palo santo;0,15;;;;;;;0,60;0,25;;;;1,00;
гваяк;guaiac wood;;;;;;0,10;;0,60;;0,30;;;1,00;
ветивер;vetiver;;;;;;;;0,40;;0,50;0,10;;1,00;
пачули;patchouli;;;;;;;;0,30;0,15;0,55;;;1,00;
хиноки;hinoki;;0,10;0,20;;;;;0,70;;;;;1,00;
хо-дерево;ho wood;;;0,20;0,30;;;;0,50;;;;;1,00;
розовое дерево;rosewood;0,10;;;0,40;;;;0,50;;;;;1,00;
берёза;birch;;0,10;;;;;;0,60;;0,30;;;1,00;
дуб;oak;;;;;;;;0,70;;0,30;;;1,00;
морёный дуб;bog oak;;;;;;;;0,45;;0,55;;;1,00;
кашмеран · сухое дерево;cashmeran · dry wood;;;;;;;0,20;0,60;;;0,20;;1,00;
ладан;frankincense;0,20;;;;;;;;0,60;0,20;;;1,00;
мирра;myrrh;;;;;;;0,15;;0,60;0,25;;;1,00;
бензоин;benzoin;;;;;;0,30;;;0,70;;;;1,00;
стиракс;styrax;;;;;;;0,30;;0,60;;0,10;;1,00;
лабданум;labdanum;;;;;;;;;0,50;0,20;0,30;;1,00;
копал;copal;0,20;;;;;;;0,10;0,70;;;;1,00;
элеми;elemi;0,30;;;;;;0,10;;0,60;;;;1,00;
перуанский бальзам;peru balsam;;;;;;0,40;;;0,60;;;;1,00;
толуанский бальзам;tolu balsam;;;;0,10;;0,30;;;0,60;;;;1,00;
опопонакс;opoponax;;;;;;0,20;;;0,60;;0,20;;1,00;
мастика;mastic;;0,30;;;;;;0,10;0,60;;;;1,00;
еловая смола;spruce resin;;;0,10;;;;;0,40;0,50;;;;1,00;
канифоль;rosin;;;;;;;;0,30;0,70;;;;1,00;
амбра серая;ambergris;;;;;;;;;0,20;;0,50;0,30;1,00;
дубовый мох;oakmoss;;;;;;;;0,20;;0,70;;0,10;1,00;
берёзовый дёготь;birch tar;;;;;;;;0,10;;0,70;0,20;;1,00;
кожа;leather;;;;;;;;0,10;;0,30;0,60;;1,00;
табак;tobacco;;;;;;0,30;;;;0,40;0,30;;1,00;
чёрный чай;black tea;;;;0,20;;0,30;;;;0,50;;;1,00;
костёр;bonfire;;;;;;;;0,20;;0,80;;;1,00;
торф;peat;;;;;;;;;;0,80;;0,20;1,00;
грибы;mushroom;;;;;;0,20;;;;0,80;;;1,00;
мокрая земля;wet earth;;;;;;;;;;0,80;;0,20;1,00;
бахур;bakhoor;;;;;;;;0,30;0,30;0,40;;;1,00;
мускус растительный;plant musk;;;;;;0,30;;;;;0,70;;1,00;
амбретта;ambrette;;;;0,20;;0,20;;;;;0,60;;1,00;
цибет;civet;;;;0,10;;;;;;;0,90;;1,00;
кастореум;castoreum;;;;;;0,10;;;;0,20;0,70;;1,00;
хирацеум;hyraceum;;;;;;;;;;0,20;0,80;;1,00;
шерсть;wool;;;;;;;;;;0,30;0,70;;1,00;
водоросли;seaweed;;0,20;;;;;;;;;;0,80;1,00;
соль · бриз;salt · sea breeze;0,10;;;;;;;;;;;0,90;1,00;
устричная раковина;oyster shell;;;;;;;;;;;0,20;0,80;1,00;
дождь · озон;rain · ozone;;0,30;;;;;;;;;;0,70;1,00;
камень тёплый;warm stone;;;;;;;;;;0,40;;0,60;1,00;
снег;snow;;;0,40;;;;;;;;;0,60;1,00;
